ime,drzava,drzava_2,drzava_3,gorovje,visina,vrsta,stevilo_ogledov,priljubljenost,stevilo_poti,opis,blok_poti
Snežnik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1796,"vrh, koča",851397,99,12,"Snežnik oz. Veliki Snežnik je z višino 1796 m najvišji vrh v bližnji in daljni okolici, zato je z njega lep razgled po večjem delu Slovenije in bližnje sosednje Hrvaške. Ob lepem vremenu tako vidimo najvišje vrhove Gorskega Kotarja in Istre, kjer izstopajo Risnjak, Snježnik in Učka. Na slovensko stran pa prek prostranih gozdov Notranjske vidimo tudi najvišje vrhove Julijskih Alp, Kamniško Savinjskih Alp in Karavank. <br> Le nekaj metrov pod vrhom pa se nahaja tudi zavetišče Draga Karolina na Velikem Snežniku. ",
Mali Snežnik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1694,vrh,431337,83,4,"Mali Snežnik je vrh na zahodnem grebenu Snežnika. Vrh, ki je poraščen z rušjem ima lep razgled na sosednji Veliki Snežnik in okoliško hribovje.",
Mali Golak,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1495,vrh,637569,97,5,"Mali Golak je najvišji od Golakov. Imena ni dobil zato, ker naj bi bil najmanjši ampak, ker je imel najmanjšo planino. Na zemljevidih je prišlo do napake in namesto Malega Golaka piše Veliki Golak. Sicer pa je z vrha lep razgled na vso Slovenijo. Lepo se vidi Triglav in velik del Julijskih Alp. Tudi Karavanke in Kamniške Alpe se vidijo. Pod nami pa Primorska s svojim morjem. Vrh ima vpisno knjigo in žig.",
Srednji Golak,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1480,vrh,399136,79,3,"Srednji Golak se nahaja med Malim in Velikim Golakom na planoti Trnovskega gozda nad Predmejo. Vrh je poraščen z rušjem, razgled pa seže od morja čez Trnovsko planoto proti osrednji Sloveniji a ga nekoliko ovirajo redka drevesa.",
Mrzovec,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1410,vrh,414632,81,5,"Mrzovec je najizrazitejši vrh v osrčju Trnovske planote. Njegova lega omogoča čudovit razgled, vendar ga z vrha zastira visoko drevje. Na vrhu je zgrajen kamnit stolp (trigonometrična točka), a je visok le dobrih pet metrov. Ker pa iz nje nimamo širšega razgleda si lahko podoben razgled mozaično zagotovimo tudi z roba planotastega vrha, saj je na več krajih vegetacija deloma pretrgana. Kot na dlani imamo okoli sebe celoten Trnovski gozd, predvsem vasi Lokve in Nemci. Ob jasnem vremenu je lep razgled tudi širši, do Jadranskega morja na jugu, Julijskih Alp na severu, na zahodni strani se rišeta Sabotin in Banjšice, na vzhodu pa notranjost Slovenije.",
Veliki Modrasovec,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1353,vrh,466527,87,7,Veliki Modrasovec se nahaja na južnem delu Trnovskega gozda v bližini Predmeje. Na vrhu stoji stara vojaška zgradba na katero se moramo povzpeti za lepši razgled. Lepo se vidijo bližnji Golaki in zadaj nad njim del Kamniških Alp. Levo od Golakov pa se lepo vidijo Julijske Alpe kjer najbolj izstopata Triglav in nekoliko bližji Krn. Na primorsko stran razgled ovira gozd.,
Bukov Vrh (Trnovski gozd),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1314,vrh,286672,66,0,"Bukov vrh je 1314 m visok vrh, ki se nahaja na severnem robu Trnovskega gozda. Večinoma gozdnat vrh, ki je porasel z bukouvjem, se proti severu strmo spušča proti dolini Trebuščice, proti jugu pa se nadaljuje v planoto Trnovskega gozda. Skozi krošnje dreves, se nam odpre nekaj razgleda proti Golakom in Škofjeloškemu in Cerkljanskemu hribovju, sicer pa je vrh, ki je ob ugodnih snežnih razmerah lep turnosmučarski cilj, tudi rezervat pragozda.",
Suhi vrh (Nanos),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1313,vrh,625007,97,10,"Suhi vrh je s 1313m najvišji vrh kraške planote Nanos. Z vrha, ki ima vpisno skrinjico ter žig (žig je trenutno neuporaben 14.3.2009) je lep razgled proti Postojnski kotlini in hribovju, ki le to obdaja. Ob lepem vremenu razgled seže vse od Julijskih Alp prek Karavank do Kamniško Savinjskih Alp in Snežnika.",
Mali Modrasovec,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1305,vrh,324994,71,3,"Mali Modrasovec je vrh severno od doma na Čavnu v Trnovskem gozdu. Na vrhu, ki je obdan z gozdom stoji manjša hiška in zraven nje kontrolni stolp. Zaradi gozda ni razgleda.",
Poldanovec,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1299,vrh,459294,86,3,"Poldanovec se nahaja v Govcih, na severnem robu Trnovske planote. Govci se strmo dvigajo nad dolino Gorenje Trebuše. Poldanovec ni najvišja točka, temveč nudi najlepši razgled proti severu. Obkrožajo ga Mojski vrh, Veliki Bukovec in Veliki Češevik, pod njim pa se spušča kotanja Mojske Drage.",
Goteniški Snežnik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1289,vrh,377110,77,2,"Goteniški Snežnik je s 1289m najvišji vrh Goteniške gore. Ker vrh prerašča gozd, je razgled z njega precej okrnjen. Vrh ima vpisno skrinjico in žig.",
Srednja gora (Hrušica),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1275,vrh,264324,63,2,"Srednja gora je 1275 m visok vrh, ki se nahaja v osrednjem delu gozdnate Hrušice. Vrh je poraščen z gozdom, se nam le nekaj minut hoje od vrha (v smeri od vrha proti vzhodu) odpre lep razgled proti Nanosu in hribovju Notranjske.",
Veliki Javornik (Javorniki),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1268,vrh,514737,91,3,"Veliki Javornik je 1268 metrov visok vrh gozdnatega hribovja imenovanega Javorniki. Prostrani gozdovi Javornikov se razprostirajo od Postojne do Cerkniškega polja. V gozdovih Javornikov prebiva veliko vrst ptic in drugih divjih živali kot so medved, volk in ris. <br> Na vrhu Velikega Javornika stoji manjša hiška radiokluba Proteis iz Postojne.",
Streliški vrh (Hrušica),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1266,vrh,293340,67,2,"Streliški vrh je 1266 m visoka gora, ki se nahaja v osrednjem delu gozdnate Hrušice. Z vrha, ki je deloma porasel z gozdom, se nam odpre lep pogled le proti severu, kjer ob lepem vremenu razgled seže vse do najvišjih vrhov Julijskih Alp ter deloma Karavank.",
Iztokova koča pod Golaki,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1260,koča,490406,89,3,"Iztokova koča se nahaja sredi gozda pod vrhom 1495 m visokega Malega Golaka. Koča mimo katere vodi slovenska planinska pot je odprta ob vikendih, v juliju in avgustu pa tudi še ob petkih.",
Turn,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1254,vrh,273947,64,1,"Turn je s 1254 m najvišji vrh 14 km dolge Velike gore, planote, ki se dviga med Ribniškim poljem in Liškim Potokom. Z vrha, ki ima žig in vpisno skrinjico, se nam kljub delni poraščenosti odpre lep razgled na Snežnik, notranjske gozdove ter ob lepem vremenu Julijske in Kamniško Savinjske Alpe.",
Kuk (Kolovrat),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1243,vrh,466730,87,3,"Kuk je s 1243 m najvišji vrh Kolovrata, pogorja ki se nahaja od Livka do Kambreškega. Z vrha, na katerem je več oddajnikov, se nam odpre lep razgled na Beneško Slovenijo, Matajur, Kanin, Krnsko pogorje, Trnovski gozd in Kolovrat.",
Dom na Sviščakih,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1242,koča,352670,74,1,"Planinski dom na Sviščakih se nahaja v objemu prostranih snežniških gozdov zahodno od Snežnika. Do Sviščakov lahko pridemo po cesti iz Ilirske Bistrice, iz Mašuna in Cerknice. V bližini doma se nahaja tudi manjši smučarski center.",
Koča Antona Bavčerja na Čavnu,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1242,koča,554215,94,7,"Koča Antona Bavčerja na Čavnu, se nahaja južno od Malega Modrasovca (1305 m), na nekoliko večjem travniku. Od koče, do katere je možno priti tudi z avtomobilom, zaradi bližnjega gozda ni lepšega razgleda. Z nekaj truda lahko med krošnjami dreves opazimo del Jadranskega morja, sicer pa je lepa razgledna točka le 5 minut hoje stran od koče. Z razgledne točke, pa se nam odpre lep razgled na Vipavsko dolino.",
Javornik nad Črnim Vrhom,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1240,vrh,557475,94,8,"Javornik je z gozdom poraščen vrh, ki se nahaja jugovzhodno od Črnega Vrha. Na vrhu pa so leta 1972 postavili razgledni stolp, ki sega nad krošnje dreves tako, da se nam z vrha odpre lep razgled. Ob lepem vremenu se vidijo Dolomiti, Karnijske in Julijske Alpe, Karavanke, Kamniško Savinjske Alpe in Snežnik. Med omenjenimi vrhovi pa vidimo Škofjeloško in Cerkljansko hribovje, del ljubljanske kotline, notranjsko hribovje in del Tržaškega zaliva.<br> Vzpon na stolp je v mokrem nevaren za zdrs in je na lastno odgovornost.",
Vojkova koča na Nanosu,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1240,"vrh, koča",871882,99,16,"Vojkova koča se nahaja na južnem obrobju nanoške planote, v neposredni bližini Pleše, vrha, ki je lepo viden z avtoceste. Od koče oz. Peše se nam odpre lep razgled na Postojnsko kotlino, Javornike, Snežnik, Vremščico, Slavnik, Tržaški zaliv, del Vipavske doline, Čaven in Golake. V bližini koče, ki je odprta v poletni sezoni, ter v zimskem času ob koncih tedna, se nahaja večje število že od daleč vidnih oddajnikov.",
Veliki Rob,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1237,vrh,475093,88,10,"Veliki Rob je razgleden vrh, ki se nahaja med Kucljem (1237m) in Čavnom (1185m). Z vrha na katerem se nahaja križ je lep razgled na Vipavsko dolino, Trstelj, Tržaški zaliv, Dolomite, Julijske Alpe in bližnji Trnovski gozd. <br>Vrh ima vpisno skrinjico in žig.",
Kucelj na Čavnu,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1237,vrh,542169,93,12,Kucelj se nahaja na Južnih obronkih Trnovskega gozda severozahodno od Vipavske doline. Z neporaščenega vrha na katerem stoji križ je zelo lep razgled na Primorsko in morje v ozadju. Na drugi strani se vidi Trnovski gozd in nad njim del Julijskih Alp. Vrh je prostran in ima vpisno skrinjico.,
Rezinski vrh,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1231,vrh,191173,54,1,"Rezinski vrh je 1231 m visoka gora, ki se nahaja sredi prostranih gozdov Velike gore. Z vrha, ki ima vpisno skrinjico in ob njej žig, zaradi gozda ni razgleda.",
Sveti Duh (Hrušica),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1221,"vrh, cerkev",234725,59,2,"Cerkev Svetega Duha se nahaja le nekaj metrov pod istoimenskim vrhom na pobočjih gozdnate Hrušice, pogorja med Colom, Logatcem in Planino. Od cerkve v bližini katere se nahaja vpisna skrinjica z žigom, zaradi gozda ni lepšega razgleda, le ta je omejen le na bližnji Nanos.",
Mali Javornik (Javorniki),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1219,vrh,288955,66,2,"Mali Javornik je 1219 m visoka gora, ki se nahaja v grebenu gozdnatega grebena Javornikov. S samega vrha zaradi gozda ni razgleda, je pa malo pod vrhom večji travnik, s katerega se nam odpre pogled proti Snežniku, in Sveti Trojici.",
Petelinjek,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1212,vrh,239585,60,2,"Petelinjek je 1212 m visok vrh, ki se nahaja v pogorju Racne gore. Z vrha, na katerem stoji manjši kovinski stol, možic in stara lestev, zaradi gozda ni razgleda.",
Grmada (Nanos),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1209,vrh,497035,90,7,"Grmada je 1209 m visok vrh, ki se nahaja severozahodno od bolj poznane Pleše. Z vrha, na katerem se nahaja vpisna skrinjica z žigom, se nam odpre lep pogled na del planote Nanos, Golake, Čaven ter ob lepem vremenu na Tržaški zaliv, Dolomite in Julijske Alpe.",
Velika Jazbina,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1201,vrh,184088,53,1,"Velika Jazbina je manj znan, deloma prepaden in na eno stran tudi precej razgleden vrh, ki se nahaja v osrčju Racne gore, le ta pa med Loško dolino in Loškim potokom. Z vrha, ki ga večinoma prerašča grmičevje, se nam odpre lep pogled na okoliško hribovje.",
Nagnoj,Italija,,Slovenija,"Goriško, Notranjsko in Snežniško hribovje",1193,vrh,251056,62,2,"Nagnoj je s 1193 m drugo najvišji vrh Kolovrata, pogorja ki se nahaja med Tolminom in Beneško Slovenijo. Z vrha, na katerem je vpisna skrinjica in v njej vpisna knjiga in žig, se nam odpre lep pogled na Beneško Slovenijo, Matajur, Kanin, Krnsko pogorje in Kolovrat.",
Cerk,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1192,vrh,213751,57,5,"Cerk je s 1192 m najvišji vrh Borovške gore, pogorja, ki se nahaja med dolino reke Kolpe in Goteniškim Snežnikom. Z vrha, ki ima vpisno skrinjico z žigom, se nam med krošnjami dreves odpre nekaj razgleda na okoliško hribovje in na vas Borovec pri Kočevski Reki.",
Stanov rob,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1191,vrh,297628,67,2,"Stanov rob je 1191m visok vrh, ki se nahaja na grebenu prepadnih Govc. Z vrha je tako lep pogled po večjem delu Govc, delu Julijskih Alp ter hribovju v porečju reke Idrijce.",
